"Subject" "ActivityName" "ftAvg" "ftDomain" "ftInstrment" "ftAcceleration" "ftStatVariable" "ftJerk" "ftMagnitude" "ftAxis"
"1" 1 "LAYING" -0.9390990524 "Freq" "Accelerometer" "Body" "mean" NA NA "X"
"2" 1 "LAYING" -0.86706520518 "Freq" "Accelerometer" "Body" "mean" NA NA "Y"
"3" 1 "LAYING" -0.8826668762 "Freq" "Accelerometer" "Body" "mean" NA NA "Z"
"4" 1 "LAYING" -0.9244374346 "Freq" "Accelerometer" "Body" "std" NA NA "X"
"5" 1 "LAYING" -0.8336255561 "Freq" "Accelerometer" "Body" "std" NA NA "Y"
"6" 1 "LAYING" -0.81289155944 "Freq" "Accelerometer" "Body" "std" NA NA "Z"
"7" 1 "LAYING" -0.9570738838 "Freq" "Accelerometer" "Body" "mean" "Y" NA "X"
"8" 1 "LAYING" -0.9224626098 "Freq" "Accelerometer" "Body" "mean" "Y" NA "Y"
"9" 1 "LAYING" -0.9480609042 "Freq" "Accelerometer" "Body" "mean" "Y" NA "Z"
"10" 1 "LAYING" -0.9641607086 "Freq" "Accelerometer" "Body" "std" "Y" NA "X"
"11" 1 "LAYING" -0.9322178704 "Freq" "Accelerometer" "Body" "std" "Y" NA "Y"
"12" 1 "LAYING" -0.9605869872 "Freq" "Accelerometer" "Body" "std" "Y" NA "Z"
"13" 1 "LAYING" -0.8617676481 "Freq" "Accelerometer" "Body" "mean" NA "Y" NA
"14" 1 "LAYING" -0.7983009404 "Freq" "Accelerometer" "Body" "std" NA "Y" NA
"15" 1 "LAYING" -0.9333003608 "Freq" "Accelerometer" "Body" "mean" "Y" "Y" NA
"16" 1 "LAYING" -0.9218039756 "Freq" "Accelerometer" "Body" "std" "Y" "Y" NA
"17" 1 "LAYING" -0.9423669466 "Freq" "Gyroscope" NA "mean" "Y" "Y" NA
"18" 1 "LAYING" -0.9326606676 "Freq" "Gyroscope" NA "std" "Y" "Y" NA
"19" 1 "LAYING" -0.8621901854 "Freq" "Gyroscope" NA "mean" NA "Y" NA
"20" 1 "LAYING" -0.82431943968 "Freq" "Gyroscope" NA "std" NA "Y" NA
"21" 1 "LAYING" -0.850249174586 "Freq" "Gyroscope" NA "mean" NA NA "X"
"22" 1 "LAYING" -0.9521914948 "Freq" "Gyroscope" NA "mean" NA NA "Y"
"23" 1 "LAYING" -0.909302721 "Freq" "Gyroscope" NA "mean" NA NA "Z"
"24" 1 "LAYING" -0.8822964508 "Freq" "Gyroscope" NA "std" NA NA "X"
"25" 1 "LAYING" -0.9512320494 "Freq" "Gyroscope" NA "std" NA NA "Y"
"26" 1 "LAYING" -0.9165825082 "Freq" "Gyroscope" NA "std" NA NA "Z"
"27" 1 "LAYING" 0.22159824394 "Time" "Accelerometer" "Body" "mean" NA NA "X"
"28" 1 "LAYING" -0.0405139534294 "Time" "Accelerometer" "Body" "mean" NA NA "Y"
"29" 1 "LAYING" -0.11320355358 "Time" "Accelerometer" "Body" "mean" NA NA "Z"
"30" 1 "LAYING" -0.9280564692 "Time" "Accelerometer" "Body" "std" NA NA "X"
"31" 1 "LAYING" -0.83682740562 "Time" "Accelerometer" "Body" "std" NA NA "Y"
"32" 1 "LAYING" -0.826061401628 "Time" "Accelerometer" "Body" "std" NA NA "Z"
"33" 1 "LAYING" 0.0810865342 "Time" "Accelerometer" "Body" "mean" "Y" NA "X"
"34" 1 "LAYING" 0.0038382040088 "Time" "Accelerometer" "Body" "mean" "Y" NA "Y"
"35" 1 "LAYING" 0.010834236361 "Time" "Accelerometer" "Body" "mean" "Y" NA "Z"
"36" 1 "LAYING" -0.958482112 "Time" "Accelerometer" "Body" "std" "Y" NA "X"
"37" 1 "LAYING" -0.9241492736 "Time" "Accelerometer" "Body" "std" "Y" NA "Y"
"38" 1 "LAYING" -0.9548551108 "Time" "Accelerometer" "Body" "std" "Y" NA "Z"
"39" 1 "LAYING" -0.9543962646 "Time" "Accelerometer" "Body" "mean" "Y" "Y" NA
"40" 1 "LAYING" -0.9282456284 "Time" "Accelerometer" "Body" "std" "Y" "Y" NA
"41" 1 "LAYING" -0.8419291525 "Time" "Accelerometer" "Body" "mean" NA "Y" NA
"42" 1 "LAYING" -0.79514486386 "Time" "Accelerometer" "Body" "std" NA "Y" NA
"43" 1 "LAYING" -0.016553093978 "Time" "Gyroscope" NA "mean" NA NA "X"
"44" 1 "LAYING" -0.064486124088 "Time" "Gyroscope" NA "mean" NA NA "Y"
